PatientID,Diagnosis,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,Polyphagia,IncreasedALKP,IncreasedATL_GGT_AST,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
1,1,Jack Russell Terrier,12,M,True,No change,13.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
2,1,Bichon Frise,12,F,True,No change,9.3,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False
3,1,West Highland White Terrier,13,F,True,No change,9.82,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
4,1,Cocker Spaniel,12,F,True,No change,11.3,True,False,False,True,False,False,False,False,False,True,False,True,True,False,,,False,False,False,False
5,1,Crossbreed,9,F,False,No change,9.3,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False
6,1,Border Terrier,17,M,True,No change,,False,False,False,True,False,False,False,True,False,False,True,True,True,True,,,False,False,False,False
7,1,Labrador Retriever,11,F,True,Weight gain,33.2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,False,False,True,False
8,1,Crossbreed,13,F,False,No change,12.4,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False
9,1,Others,10,F,False,No change,39.75,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
10,1,Staffordshire Bull Terrier,11,F,True,No change,20.3,False,False,False,True,False,False,False,True,False,True,False,True,False,False,,,False,False,False,False
11,1,Schnauzer,8,F,False,No change,9.1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
12,1,Crossbreed,6,M,False,Weight loss,58.0,False,False,False,True,True,True,False,False,False,False,False,True,True,True,,,False,False,False,False
13,1,Shih Tzu,13,F,True,No change,12.3,False,False,False,False,False,False,False,False,False,True,False,True,True,False,,,False,False,False,False
14,1,Border Terrier,7,F,True,No change,10.8,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,,False,True,False,False
15,1,Staffordshire Bull Terrier,11,M,False,Weight gain,26.5,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
16,1,Crossbreed,14,M,False,Weight gain,16.2,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
17,1,Crossbreed,14,M,True,No change,16.3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
18,1,Others,9,F,True,No change,10.6,False,False,False,True,False,False,False,False,False,False,False,True,True,True,,,False,False,False,False
19,1,Staffordshire Bull Terrier,10,M,False,Weight loss,17.8,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False
20,1,Others,8,M,True,No change,15.25,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False
21,1,Others,10,M,True,Weight loss,17.0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False
22,1,Jack Russell Terrier,13,M,True,No change,8.82,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False
23,1,West Highland White Terrier,13,M,True,No change,10.3,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False
24,1,Staffordshire Bull Terrier,7,M,False,No change,31.8,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,,False,False,False,False
25,1,Crossbreed,14,F,False,No change,8.8,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
26,1,Cavalier King Charles Spaniel,7,M,True,No change,10.8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False
27,1,Crossbreed,3,F,False,No change,21.3,False,False,False,False,False,True,True,False,False,False,False,True,False,True,,,False,False,False,False
28,1,Border Terrier,12,M,False,No change,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
29,1,Crossbreed,14,F,True,No change,7.5,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,1,Jack Russell Terrier,11,M,True,Weight gain,9.57,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,,False,False,False,False
31,1,Yorkshire Terrier,4,M,True,No change,10.4,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False
32,1,West Highland White Terrier,6,M,True,Weight loss,11.6,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
33,1,Border Terrier,8,M,True,No change,14.05,False,False,False,True,False,False,False,False,True,False,False,True,True,False,,,False,False,False,False
34,1,Springer Spaniel,12,F,False,No change,20.7,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
35,1,Border Terrier,9,M,True,No change,12.0,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False
36,1,Bichon Frise,11,M,True,Weight gain,10.0,True,False,False,True,False,False,False,False,False,True,False,True,True,True,,,False,False,False,True
37,1,Others,9,M,True,No change,57.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,True,False
38,1,Yorkshire Terrier,13,F,False,No change,6.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
39,1,Yorkshire Terrier,11,F,True,No change,,False,False,False,True,True,True,False,False,False,False,False,True,True,True,,,False,False,False,False
40,1,Shih Tzu,10,M,True,No change,10.1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
41,1,Boxer,6,M,False,No change,,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False
42,1,Border Terrier,10,F,True,Weight loss,9.9,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False
43,1,Others,10,M,False,No change,48.7,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
44,1,Yorkshire Terrier,11,F,True,No change,8.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
45,1,Cocker Spaniel,13,F,True,No change,20.0,True,False,False,False,True,False,False,False,False,False,False,True,True,True,,,False,False,False,False
46,1,Jack Russell Terrier,13,F,True,No change,6.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
47,1,Cavalier King Charles Spaniel,11,F,False,No change,11.9,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False
48,1,Jack Russell Terrier,11,F,True,No change,8.0,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
49,1,Jack Russell Terrier,10,M,False,Weight gain,16.2,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False
50,1,Springer Spaniel,12,F,True,Weight loss,20.7,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,,False,False,False,False
51,1,Jack Russell Terrier,12,F,True,No change,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False
52,1,Schnauzer,13,F,False,No change,13.0,False,False,False,True,False,True,False,False,False,True,False,True,True,True,,,False,False,False,False
53,1,Shih Tzu,14,F,True,No change,5.72,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
54,1,Shih Tzu,11,M,True,No change,,False,False,False,True,True,True,False,False,False,False,False,True,True,True,,,False,False,False,False
55,1,West Highland White Terrier,11,F,True,No change,8.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
56,1,Bichon Frise,8,F,True,Weight gain,9.98,False,False,False,False,True,False,False,False,True,False,False,False,False,True,,,False,False,False,False
57,1,Crossbreed,10,F,False,Weight loss,3.5,False,False,False,False,True,True,False,False,False,False,False,True,False,False,,,False,False,False,False
58,1,Crossbreed,8,M,False,No change,23.5,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
59,1,Others,13,F,True,Weight loss,12.5,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False
60,1,Crossbreed,11,F,True,Weight gain,10.05,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False
