PatientID,BirthDate,IsNeutered,SexSource,BreedVeNomID,SourceBreed,Case_1,Date first suspected_2,Date confirmed_3,Date ruled out_4,Weight at suspected,Polydipsia mentioned_5,Polyuria mentioned_6,Polyphagia_7,Vomiting_8,Diarrhoea_9,Potbelly/hepatomegaly_10,Weight_11,Thin/dry skin_12,Alopecia_13,Pruritus_14,Muscle wastage/weakness_15,Lethargy_16,Panting_17,Neurological signs_18,Increased ALKP_19,Increased ALT/GGT/AST_20,USG <1.20_21,Proteinuria_22,Heart rate_23,Temperature_24,ALKP level_28,USG level_29,Hospitalised,Hypertensive,Insulin,Hypothyroid,Cruciate
1,17/02/2003 0:00,TRUE,Male      ,15009,Jack Russell Terrier,1,23/12/2015 0:00,2/01/2016 0:00,,13,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Unknown,Yes,,,,,No,No,No,No,No
2,20/11/2003 0:00,TRUE,Female - Neutered,13714,Bichon Frise,1,21/12/2015 0:00,4/01/2016 0:00,,9.3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,,39.2,979,1.008,No,No,No,No,No
3,1/01/2003 0:00,TRUE,Female - Neutered,15086,West Highland White Terrier,1,5/01/2016 0:00,7/01/2016 0:00,,9.82,Yes,Yes,Yes,No,No,Yes,No change,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,,,536,1.022,No,No,No,No,No
4,1/03/2003 0:00,TRUE,Female - Neutered,14846,Cocker Spaniel,1,30/12/2015 0:00,7/01/2016 0:00,,11.3,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,120,39.2,,,Yes,No,No,No,No
5,29/12/2006 0:00,FALSE,Female    ,Crossbreed,Crossbreed,1,5/01/2016 0:00,9/01/2016 0:00,,9.3,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,96,37.4,,1.01,No,No,No,No,No
6,1/12/1999 0:00,TRUE,Male      ,14962,Border Terrier,1,8/01/2016 0:00,12/01/2016 0:00,,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
7,1/01/2004 0:00,TRUE,Female - Neutered,14631,Labrador Retriever,1,3/12/2015 0:00,13/01/2016 0:00,,33.2,Yes,No,No,No,No,No,Weight gain,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,Yes,No,No,Yes,No
8,6/01/2003 0:00,FALSE,Female    ,Crossbreed,Crossbreed,1,8/01/2016 0:00,14/01/2016 0:00,,12.4,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
9,26/04/2006 0:00,FALSE,Female    ,15122,Weimeraner,1,8/01/2016 0:00,18/01/2016 0:00,,39.75,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,120,,,,No,No,No,No,No
10,13/09/2004 0:00,TRUE,Female    ,15076,Staffordshire Bull Terrier,1,14/01/2016 0:00,18/01/2016 0:00,,20.3,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
11,18/10/2007 0:00,FALSE,Female    ,14672,Schnauzer,1,28/12/2015 0:00,19/01/2016 0:00,,9.1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
12,11/08/2009 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,30/11/2015 0:00,19/01/2016 0:00,,58,Yes,Yes,Yes,No,No,Yes,Weight loss,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
13,1/10/2002 0:00,TRUE,Female - Neutered,14833,Shih Tzu,1,3/12/2015 0:00,20/01/2016 0:00,,12.3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,100,39.2,,,No,No,No,No,No
14,15/09/2008 0:00,TRUE,Female - Neutered,14962,Border Terrier,1,23/11/2015 0:00,20/01/2016 0:00,,10.8,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,120,38.8,790,,Yes,No,Yes,No,No
15,5/08/2004 0:00,FALSE,Male      ,15076,Staffordshire Bull Terrier,1,13/01/2016 0:00,22/01/2016 0:00,,26.5,Yes,Yes,No,No,No,Yes,Weight gain,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,1215,1.012,Yes,No,No,No,No
16,11/01/2001 0:00,FALSE,Male      ,,Crossbreed,1,16/01/2016 0:00,23/01/2016 0:00,,16.2,Yes,Yes,No,No,No,Yes,Weight gain,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,130,38.1,,,No,No,No,No,No
17,29/08/2001 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,15/01/2016 0:00,25/01/2016 0:00,,16.3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.005,No,No,No,No,No
18,6/05/2006 0:00,TRUE,Female    ,15003,Fox Terrier,1,19/01/2016 0:00,27/01/2016 0:00,,10.6,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.01,No,No,No,No,No
19,12/08/2005 0:00,FALSE,Male      ,15079,Staffordshire Bull Terrier,1,30/12/2015 0:00,28/01/2016 0:00,,17.8,No,No,No,No,No,Yes,Weight loss,No,Yes,No,Yes,No,Yes,No,Yes,No,Unknown,Unknown,120,,,,No,No,No,No,No
20,18/07/2007 0:00,TRUE,Male - Neutered,15049,Scottish Terrier,1,20/01/2016 0:00,28/01/2016 0:00,,15.25,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,100,38.1,,1.017,Yes,No,No,No,No
